Intent,Query
skip_ai,random forest
skip_ai,boosting
skip_ai,bagging
skip_ai,Fourier transform
skip_ai,Laplace transform
skip_ai,eigenvectors
skip_ai,matrix factorization
skip_ai,dynamic programming
skip_ai,greedy algorithms
skip_ai,divide and conquer
skip_ai,heaps
skip_ai,tries
skip_ai,graphs
skip_ai,spanning tree
skip_ai,shortest path
skip_ai,hash tables
skip_ai,linked lists
skip_ai,stacks
skip_ai,queues
skip_ai,binary trees
skip_ai,B-trees
skip_ai,Red-Black trees
skip_ai,AVL trees
skip_ai,bloom filters
skip_ai,consistent hashing
skip_ai,Einführung in die Informatik
skip_ai,Algorithmen und Datenstrukturen
skip_ai,Betriebssysteme
skip_ai,Rechnernetze
skip_ai,Datenbanksysteme
skip_ai,Softwaretechnik
skip_ai,Maschinelles Lernen
skip_ai,Lineare Algebra
skip_ai,Analysis
skip_ai,Diskrete Mathematik
skip_ai,Theoretische Informatik
skip_ai,Compilerbau
skip_ai,Verteilte Systeme
skip_ai,Computergrafik
skip_ai,Kryptographie
skip_ai,Einführung in die Programmierung
skip_ai,Numerische Methoden
skip_ai,Wahrscheinlichkeitsrechnung
skip_ai,Statistik
skip_ai,Signalverarbeitung
skip_ai,Hochleistungsrechnen
skip_ai,Quantencomputing
skip_ai,Robotik
skip_ai,Mensch-Maschine-Interaktion
skip_ai,Formale Sprachen und Automaten
skip_ai,Softwarearchitektur
skip_ai,Parallele Programmierung
skip_ai,Eingebettete Systeme
skip_ai,Datensicherheit
skip_ai,Graphentheorie
skip_ai,Machine Learning basics
skip_ai,Deep Learning Grundlagen
skip_ai,Algorithmen Einführung
skip_ai,Netzwerke basics
skip_ai,OS scheduling
skip_ai,DB indexing
skip_ai,OOP concepts
skip_ai,Design Patterns overview
skip_ai,Software Architecture patterns
skip_ai,Datenbanken Grundlagen
skip_ai,KI Einführung
skip_ai,NLP basics
skip_ai,Computer Vision Grundlagen
skip_ai,Cloud basics
skip_ai,Security Grundlagen
skip_ai,Web Grundlagen
skip_ai,ML Pipelines
skip_ai,Netzwerkprotokolle overview
skip_ai,Algorithmen basics
skip_ai,Betriebssystem Grundlagen
skip_ai,Analysis 1
skip_ai,LA2
skip_ai,Algo 2
skip_ai,DB1
skip_ai,SE2
skip_ai,TCS
skip_ai,GDB
skip_ai,Pgdp
skip_ai,EIST
skip_ai,ITSEC
skip_ai,CIT
skip_ai,DS1
skip_ai,OS2
skip_ai,CN1
skip_ai,ML2
skip_ai,DL1
skip_ai,CV1
skip_ai,NLP1
skip_ai,RL1
skip_ai,Algo1
skip_ai,Info1
skip_ai,Info2
skip_ai,Math1
skip_ai,Math2
skip_ai,NumMeth
skip_ai,CompArch
skip_ai,DisMath
skip_ai,Design Patterns slides
skip_ai,ML lecture notes
skip_ai,OS chapter 3
skip_ai,Netzwerke Kapitel 5
skip_ai,Datenbanken Folien
skip_ai,Algorithmen Folien
skip_ai,Analysis Zusammenfassung
skip_ai,Lineare Algebra Skript
skip_ai,Betriebssysteme Folien
skip_ai,Softwaretechnik Kapitel 2
skip_ai,Deep Learning slides
skip_ai,Computer Vision lecture notes
skip_ai,NLP Folien
skip_ai,Rechnernetze Kapitel 4
skip_ai,Datenstrukturen Zusammenfassung
skip_ai,Compilerbau Skript
skip_ai,Verteilte Systeme Folien
skip_ai,Kryptographie Kapitel 3
skip_ai,Diskrete Mathematik Zusammenfassung
skip_ai,Theoretische Informatik Skript
skip_ai,OS lecture slides
skip_ai,DB chapter 5
skip_ai,ML summary
skip_ai,CN lecture notes
skip_ai,SE slides chapter 4
skip_ai,why does
skip_ai,how does
skip_ai,what does
skip_ai,how is
skip_ai,why is
skip_ai,when does
skip_ai,what do
skip_ai,how do
skip_ai,why do
skip_ai,what are
skip_ai,how are
skip_ai,what if
skip_ai,warum ist
skip_ai,wie ist
skip_ai,was macht
skip_ai,wie macht
skip_ai,was sind
skip_ai,wie sind
skip_ai,what is it
skip_ai,how does it
trigger_ai,was ist KI
trigger_ai,was ist AI
trigger_ai,was ist ML
trigger_ai,was ist NLP
trigger_ai,was ist CV
trigger_ai,was ist OS
trigger_ai,was ist DL
trigger_ai,was ist RL
trigger_ai,was ist NP
trigger_ai,was ist OOP
trigger_ai,was ist GAN
trigger_ai,was ist RNN
trigger_ai,was ist CNN
trigger_ai,was ist SVM
trigger_ai,was ist SQL
trigger_ai,what is AI
trigger_ai,what is ML
trigger_ai,what is NLP
trigger_ai,what is CV
trigger_ai,what is OS
trigger_ai,what is DL
trigger_ai,what is RL
trigger_ai,what is NP
trigger_ai,what is OOP
trigger_ai,what is GAN
trigger_ai,what is RNN
trigger_ai,what is CNN
trigger_ai,what is SVM
trigger_ai,what is SQL
trigger_ai,what is API
trigger_ai,what is GPU
trigger_ai,what is CPU
trigger_ai,what is RAM
trigger_ai,what is TCP
trigger_ai,what is UDP
trigger_ai,"Classification, what is that"
trigger_ai,Classification what is that
trigger_ai,"Backpropagation, how does it work"
trigger_ai,"Recursion, can you explain that"
trigger_ai,"Polymorphism, what does it mean"
trigger_ai,"Deadlock, what is that exactly"
trigger_ai,"Overfitting, why does it happen"
trigger_ai,"Gradient, what does that mean in ML"
trigger_ai,"Transformer, how does that architecture work"
trigger_ai,"Attention mechanism, what is that"
trigger_ai,"KI, was ist das genau"
trigger_ai,"ML, wie funktioniert das"
trigger_ai,"Backpropagation, kannst du das erklären"
trigger_ai,"Rekursion, was bedeutet das"
trigger_ai,explain AI
trigger_ai,explain ML
trigger_ai,explain NLP
trigger_ai,explain OOP
trigger_ai,explain SQL
trigger_ai,explain KI
trigger_ai,explain RNN
trigger_ai,explain CNN
trigger_ai,explain SVM
trigger_ai,explain GAN
skip_ai,explain
skip_ai,describe
skip_ai,define
skip_ai,summarize
skip_ai,show
skip_ai,tell me
skip_ai,give me
skip_ai,list
skip_ai,what
skip_ai,how
skip_ai,why
skip_ai,who
skip_ai,when
skip_ai,where
skip_ai,erklär
skip_ai,erkläre
skip_ai,beschreibe
skip_ai,definiere
skip_ai,zeige
skip_ai,nenn mir
skip_ai,was
skip_ai,wie
skip_ai,warum
skip_ai,wer
skip_ai,wann
skip_ai,show me
skip_ai,tell
skip_ai,give
skip_ai,explain this
skip_ai,describe this
skip_ai,define this
skip_ai,show this
skip_ai,explain it
skip_ai,describe it
skip_ai,help
skip_ai,help me
skip_ai,help me understand
skip_ai,I need help
skip_ai,ich brauche hilfe
skip_ai,hilfe
skip_ai,...
skip_ai,???
skip_ai,ok
skip_ai,yes
skip_ai,no
skip_ai,hmm
skip_ai,hello
skip_ai,hi
skip_ai,hey
skip_ai,test
skip_ai,testing
skip_ai,1234
skip_ai,abc
